ID,Time,From,To
4,2006-01-01,1,1
5,2006-01-01,1,1
6,2006-01-01,0,0
13,2006-01-01,0,0
14,2006-01-01,1,1
16,2006-01-01,4,4
18,2006-01-01,7,7
21,2006-01-01,7,7
22,2006-01-01,1,1
25,2006-01-01,7,7
29,2006-01-01,7,7
31,2006-01-01,3,3
37,2006-01-01,1,1
39,2006-01-01,7,7
40,2006-01-01,7,7
44,2006-01-01,2,2
52,2006-01-01,7,7
53,2006-01-01,1,1
56,2006-01-01,0,0
65,2006-01-01,7,7
66,2006-01-01,2,2
68,2006-01-01,4,4
72,2006-01-01,7,7
74,2006-01-01,7,7
75,2006-01-01,4,4
78,2006-01-01,4,4
81,2006-01-01,4,4
86,2006-01-01,7,7
89,2006-01-01,3,3
90,2006-01-01,7,7
91,2006-01-01,0,0
97,2006-01-01,7,7
98,2006-01-01,2,2
99,2006-01-01,3,3
104,2006-01-01,2,2
105,2006-01-01,5,5
108,2006-01-01,0,0
109,2006-01-01,1,1
111,2006-01-01,3,3
114,2006-01-01,2,2
116,2006-01-01,4,4
119,2006-01-01,7,7
122,2006-01-01,4,4
123,2006-01-01,7,7
125,2006-01-01,0,0
128,2006-01-01,2,2
129,2006-01-01,3,3
130,2006-01-01,2,2
131,2006-01-01,7,7
134,2006-01-01,7,7
136,2006-01-01,2,2
139,2006-01-01,7,7
145,2006-01-01,0,0
153,2006-01-01,2,2
154,2006-01-01,7,7
158,2006-01-01,0,0
164,2006-01-01,0,0
165,2006-01-01,1,1
167,2006-01-01,1,1
169,2006-01-01,1,1
179,2006-01-01,2,2
180,2006-01-01,7,7
183,2006-01-01,1,1
184,2006-01-01,2,2
188,2006-01-01,0,0
190,2006-01-01,7,7
193,2006-01-01,1,1
195,2006-01-01,1,1
196,2006-01-01,7,7
199,2006-01-01,0,0
200,2006-01-01,3,3
206,2006-01-01,2,2
217,2006-01-01,7,7
218,2006-01-01,1,1
219,2006-01-01,7,7
225,2006-01-01,1,1
227,2006-01-01,4,4
231,2006-01-01,7,7
233,2006-01-01,5,5
235,2006-01-01,7,7
